TITLE,p(TT-TII-PD)_KBr
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,matsulab
DATE,24/01/19
TIME,15:36:17
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,  399.1927
LASTX, 4000.6047
NPOINTS,    3736
FIRSTY,     0.04422
MAXY,     0.66816
MINY,     0.00100
XYDATA
1270.8597,0.0909134
1271.8240,0.0934843
1272.7882,0.0964787
1273.7524,0.0998081
1274.7167,0.103373
1275.6809,0.107071
1276.6451,0.110805
1277.6094,0.114495
1278.5736,0.118081
1279.5378,0.121541
1280.5021,0.12488
1281.4663,0.128119
1282.4305,0.131278
1283.3948,0.134346
1284.3590,0.137279
1285.3232,0.13999
1286.2875,0.142362
1287.2517,0.144267
1288.2159,0.145599
1289.1802,0.146311
1290.1444,0.146432
1291.1086,0.14608
1292.0729,0.145436
1293.0371,0.144718
1294.0013,0.144155
1294.9656,0.143943
1295.9298,0.144204
1296.8940,0.144955
1297.8583,0.146103
1298.8225,0.147476
1299.7867,0.148894
1300.7510,0.150223
1301.7152,0.151432
1302.6794,0.152594
1303.6437,0.153855
1304.6079,0.155373
1305.5721,0.157257
1306.5364,0.15952
1307.5006,0.162085
1308.4648,0.164825
1309.4291,0.167619
1310.3933,0.170384
1311.3575,0.173064
1312.3218,0.175603
1313.2860,0.177929
1314.2502,0.179956
1315.2145,0.181612
1316.1787,0.182845
1317.1429,0.183621
1318.1072,0.183907
1319.0714,0.183674
1320.0356,0.182909
1320.9999,0.181628
1321.9641,0.179864
1322.9283,0.177653
1323.8926,0.175028
1324.8568,0.172031
1325.8210,0.168733
1326.7853,0.165238
1327.7495,0.161666
1328.7137,0.158114
1329.6780,0.154641
1330.6422,0.151262
1331.6064,0.147984
1332.5707,0.144831
1333.5349,0.141851
1334.4991,0.139104
1335.4634,0.136623
1336.4276,0.134394
1337.3918,0.132346
1338.3561,0.130377
1339.3203,0.128417
1340.2845,0.126474
1341.2488,0.124626
1342.2130,0.122953
1343.1772,0.121491
1344.1415,0.120241
1345.1057,0.119183
1346.0699,0.118288
1347.0342,0.11751
1347.9984,0.116774
1348.9626,0.115982
1349.9269,0.115038
1350.8911,0.113868
1351.8553,0.112428
1352.8196,0.110692
1353.7838,0.108656
1354.7480,0.106358
1355.7123,0.103906
1356.6765,0.101455
1357.6407,0.099141
1358.6050,0.0970271
1359.5692,0.095097
1360.5334,0.0932961
1361.4977,0.0915916
1362.4619,0.0900102
1363.4261,0.0886122
1364.3904,0.0874251
1365.3546,0.0864229
1366.3188,0.0855669
1367.2831,0.0848551
1368.2473,0.0843441
1369.2115,0.0841491
1370.1758,0.0844338
1371.1400,0.0854001
1372.1042,0.087244
1373.0685,0.0900222
1374.0327,0.0934309
1374.9969,0.0967064
1375.9612,0.0989118
1376.9254,0.0994315
1377.8896,0.0981876
1378.8539,0.0955158
1379.8181,0.0919878
1380.7823,0.0882825
1381.7466,0.0850185
1382.7108,0.0825701
1383.6750,0.0810098
1384.6393,0.0802113
1385.6035,0.0799991
1386.5677,0.0802302
1387.5320,0.0807813
1388.4962,0.0815009
1389.4604,0.0822036
1390.4247,0.082698
1391.3889,0.0827916
1392.3531,0.0822802
1393.3174,0.0809752
1394.2816,0.0787992
1395.2458,0.0758933
1396.2101,0.0726022
1397.1743,0.0693029
1398.1385,0.0662527
1399.1028,0.063587
1400.0670,0.0613783
1401.0313,0.0596504
1401.9955,0.0583623
1402.9597,0.0574071
1403.9240,0.0566409
1404.8882,0.0559303
1405.8524,0.0552022
1406.8167,0.0544558
1407.7809,0.0537224
1408.7451,0.0530195
1409.7094,0.0523458
1410.6736,0.0517099
1411.6378,0.0511524
1412.6021,0.0507331
1413.5663,0.0504954
1414.5305,0.0504534
1415.4948,0.0506128
1416.4590,0.0509953
1417.4232,0.0516196
1418.3875,0.0524267
1419.3517,0.0532417
1420.3159,0.053903
1421.2802,0.0544146
1422.2444,0.0549154
1423.2086,0.0555522
1424.1729,0.056399
1425.1371,0.0574575
1426.1013,0.0587344
1427.0656,0.0603397
1428.0298,0.0625076
1428.9940,0.0654621
1429.9583,0.0691796
1430.9225,0.0732918
1431.8867,0.0773353
1432.8510,0.0811392
1433.8152,0.0849742
1434.7794,0.0894019
1435.7437,0.0948837
1436.7079,0.101254
1437.6721,0.107667
1438.6364,0.113453
1439.6006,0.11874
1440.5648,0.124086
1441.5291,0.129915
1442.4933,0.136286
1443.4575,0.142944
1444.4218,0.149522
1445.3860,0.155741
1446.3502,0.161445
1447.3145,0.166455
1448.2787,0.170452
1449.2429,0.173127
1450.2072,0.174473
1451.1714,0.174834
1452.1356,0.174661
1453.0999,0.174275
1454.0641,0.173756
1455.0283,0.172899
1455.9926,0.171202
1456.9568,0.168282
1457.9210,0.164803
1458.8853,0.162028
1459.8495,0.160357
1460.8137,0.159515
1461.7780,0.159185
1462.7422,0.159053
1463.7064,0.158573
1464.6707,0.156895
1465.6349,0.153319
1466.5991,0.1479
1467.5634,0.141213
1468.5276,0.13363
1469.4918,0.125051
1470.4561,0.115111
1471.4203,0.103734
1472.3845,0.0920158
1473.3488,0.0824639
1474.3130,0.0769942
1475.2772,0.0750648
1476.2415,0.0749576
1477.2057,0.0755289
1478.1699,0.0764365
1479.1342,0.0777378
1480.0984,0.0795606
1481.0626,0.0819261
1482.0269,0.0846848
1482.9911,0.0875615
1483.9553,0.0902711
1484.9196,0.0926086
1485.8838,0.0944291
1486.8480,0.0955235
1487.8123,0.095505
1488.7765,0.0939939
1489.7407,0.0912314
1490.7050,0.0882284
1491.6692,0.0858944
1492.6334,0.0845109
1493.5977,0.0840227
1494.5619,0.0843989
1495.5261,0.0857953
1496.4904,0.0885414
1497.4546,0.0928496
1498.4188,0.0983608
1499.3831,0.104229
1500.3473,0.109776
1501.3115,0.114779
1502.2758,0.119301
1503.2400,0.123561
1504.2042,0.128023
1505.1685,0.133624
1506.1327,0.14162
1507.0969,0.151548
1508.0612,0.159273
1509.0254,0.162131
1509.9896,0.161753
1510.9539,0.16009
1511.9181,0.157848
1512.8823,0.154914
1513.8466,0.150812
1514.8108,0.145089
1515.7750,0.137773
1516.7393,0.129553
1517.7035,0.121325
1518.6677,0.113446
1519.6320,0.105489
1520.5962,0.0968547
1521.5604,0.0877218
1522.5247,0.07914
1523.4889,0.0719733
1524.4531,0.0661278
