imine polymer 0% TFA,,imine polymer 0.017% TFA,,imine polymer 0.05% TFA,,imine polymer 0.25% TFA,,imine polymer 1.0% TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1348.666626,0.0004088282585,1348.666626,0.0004501572403,1348.666626,1.403042188E-005,1348.666626,0.001208120259,1348.666626,0.002492137952,
1348,0.0003917536815,1348,0.0003990083642,1348,-3.577293319E-005,1348,0.001033068285,1348,0.002201138763,
1347.333374,0.0004039053165,1347.333374,0.0003475805279,1347.333374,-7.118057692E-005,1347.333374,0.0008963977452,1347.333374,0.001888599014,
1346.666626,0.000353565003,1346.666626,0.0003855354735,1346.666626,-9.307597065E-005,1346.666626,0.0007765481132,1346.666626,0.001655608416,
1346,0.0003484354529,1346,0.0002811867453,1346,-0.0001536319323,1346,0.0006412544753,1346,0.001367687946,
1345.333374,0.0003605081583,1345.333374,0.0003019094293,1345.333374,-0.0001747986535,1345.333374,0.0005629444495,1345.333374,0.001200696337,
1344.666626,0.00033638897,1344.666626,0.000214388725,1344.666626,-0.0002349292627,1344.666626,0.0004330291995,1344.666626,0.0009951345855,
1344,0.0002839842346,1344,0.0001824826322,1344,-0.0002731146233,1344,0.000364731095,1344,0.0008595393738,
1343.333374,0.0003235915792,1343.333374,0.0002149326028,1343.333374,-0.0002240111644,1343.333374,0.0003277364594,1343.333374,0.0008126473404,
1342.666626,0.0003065721539,1342.666626,0.0001972958853,1342.666626,-0.000253246224,1342.666626,0.0003208715352,1342.666626,0.0007297946722,
1342,0.0003009250795,1342,0.0001931781735,1342,-0.0002889983298,1342,0.0002665519423,1342,0.0006904354668,
1341.333374,0.0003407153126,1341.333374,0.0002253958373,1341.333374,-0.0002707863459,1341.333374,0.000314291683,1341.333374,0.0006296923966,
1340.666626,0.0002824818657,1340.666626,0.000156638358,1340.666626,-0.0003114518186,1340.666626,0.0002113326773,1340.666626,0.0005424685078,
1340,0.000321726402,1340,0.0001800483442,1340,-0.000301880762,1340,0.000225732525,1340,0.0005167842028,
1339.333374,0.0003191358992,1339.333374,0.0001699746354,1339.333374,-0.000288480951,1339.333374,0.0002332175209,1339.333374,0.0005255700671,
1338.666626,0.0003266225103,1338.666626,0.0001725124603,1338.666626,-0.0002613178804,1338.666626,0.0002165383339,1338.666626,0.0005178467836,
1338,0.0003768042661,1338,0.000189241764,1338,-0.000258575601,1338,0.0002489908366,1338,0.0005230301758,
1337.333374,0.0003421919537,1337.333374,0.0002009733871,1337.333374,-0.0002749254927,1337.333374,0.000200144641,1337.333374,0.0004493798479,
1336.666626,0.0003367257596,1336.666626,0.0001617397647,1336.666626,-0.0002889983298,1336.666626,0.000199911563,1336.666626,0.000368539535,
1336,0.0003921941388,1336,0.0001809288224,1336,-0.0002685615327,1336,0.0002139225544,1336,0.0003495753335,
1335.333374,0.0003413888626,1335.333374,0.0001817316224,1335.333374,-0.0003031224187,1335.333374,0.0001692236547,1335.333374,0.0002973503433,
1334.666626,0.0003710267192,1334.666626,0.0001708292111,1334.666626,-0.0003122278431,1334.666626,0.0001734188409,1334.666626,0.0002562431328,
1334,0.0003654306056,1334,0.0001608334132,1334,-0.0002890500473,1334,0.0001173828423,1334,0.0001651838829,
1333.333374,0.0003570624685,1333.333374,0.0001290607324,1333.333374,-0.0003256269265,1333.333374,0.0001067668563,1333.333374,0.0001094337713,
1332.666626,0.0003862868471,1332.666626,0.0001524433319,1332.666626,-0.0003247991845,1332.666626,6.088806549E-005,1332.666626,3.297997682E-005,
1332,0.0003673995961,1332,0.0001366476354,1332,-0.0003190567659,1332,4.561347305E-005,1332,1.793934644E-005,
1331.333374,0.0003905359481,1331.333374,0.0001460472995,1331.333374,-0.0003323521814,1331.333374,6.298512744E-005,1331.333374,6.562588533E-005,
1330.666626,0.0003983346978,1330.666626,0.0002006626019,1330.666626,-0.0002895674261,1330.666626,0.0001280508732,1330.666626,0.0001354824053,
1330,0.0004166532599,1330,0.0001898633054,1330,-0.0003379909613,1330,0.000168809318,1330,0.0001752056851,
1329.333374,0.0004065740795,1329.333374,0.0001997561776,1329.333374,-0.0003038984723,1329.333374,0.0001506047847,1329.333374,0.0002035631769,
1328.666626,0.0004290647048,1328.666626,0.0002137930569,1328.666626,-0.0002624561603,1328.666626,0.0001803073101,1328.666626,0.000203045216,
1328,0.0004401550104,1328,0.0002030970209,1328,-0.0002795819892,1328,0.0001949392026,1328,0.0001965707488,
1327.333374,0.0004363459302,1327.333374,0.0002155023685,1327.333374,-0.0002774606983,1327.333374,0.000198694368,1327.333374,0.0001775622659,
1326.666626,0.0004819534079,1326.666626,0.0002261469199,1326.666626,-0.0002556263353,1326.666626,0.0002164088364,1326.666626,0.0001820423931,
1326,0.0004416320007,1326,0.0002071112394,1326,-0.0002729593834,1326,0.0001654169464,1326,0.0001313911634,
1325.333374,0.0005013121408,1325.333374,0.0002219771268,1325.333374,-0.0002417594078,1325.333374,0.0002238936722,1325.333374,0.0001433801517,
1324.666626,0.0004953774624,1324.666626,0.00022495554,1324.666626,-0.0002530910133,1324.666626,0.0001808770321,1324.666626,8.250641986E-005,
1324,0.0004693849769,1324,0.000224333955,1324,-0.0002718728792,1324,0.0001737036946,1324,3.153025318E-005,
1323.333374,0.00045987466,1323.333374,0.0002129642962,1323.333374,-0.0002812376188,1323.333374,0.0001215516313,1323.333374,-1.920696377E-005,
1322.666626,0.0004760967277,1322.666626,0.0002167973144,1322.666626,-0.0002778746129,1322.666626,0.000145503509,1322.666626,-3.825777458E-005,
1322,0.0005831362214,1322,0.0002557250846,1322,-0.0002161458106,1322,0.0002304462541,1322,4.607946903E-005,
1321.333374,0.0004389112291,1321.333374,0.0001818611199,1321.333374,-0.0002947411267,1321.333374,8.090118354E-005,1321.333374,-5.849834997E-005,
1320.666626,0.0004802171316,1320.666626,0.0002111255017,1320.666626,-0.000252107915,1320.666626,0.0001622835698,1320.666626,2.169298386E-005,
1320,0.0005015712813,1320,0.0002357557241,1320,-0.0002426907886,1320,0.0001727455383,1320,4.315405386E-005,
1319.333374,0.000510771526,1319.333374,0.0002533939842,1319.333374,-0.0002525218588,1319.333374,0.0001782614709,1319.333374,7.261621067E-005,
