imine undoped,,imine 10 min iodine doping,,imine 1 min iodine doping,,imine 30 min iodine doping,,imine 30 min iodine doping1,,imine 1 hr iodine doping,,imine 1 hr iodine doping1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1122.666626,-0.01615829393,1122.666626,-0.007732625119,1122.666626,0.004084904678,1122.666626,0.01660150476,1122.666626,-0.008776203729,1122.666626,-0.009453308769,1122.666626,-0.004241346382,
1122,-0.01623779722,1122,-0.007557179779,1122,0.004187531769,1122,0.01673091389,1122,-0.008761844598,1122,-0.009468708187,1122,-0.004058740102,
1121.333374,-0.01644317061,1121.333374,-0.007737049833,1121.333374,0.004107978661,1121.333374,0.01656780764,1121.333374,-0.008940405212,1121.333374,-0.00940538384,1121.333374,-0.004192997236,
1120.666626,-0.01628841273,1120.666626,-0.007467980031,1120.666626,0.004068076611,1120.666626,0.01671399362,1120.666626,-0.008847025223,1120.666626,-0.009533137083,1120.666626,-0.004175819922,
1120,-0.01633089781,1120,-0.00766487699,1120,0.004181284923,1120,0.01675617695,1120,-0.008884816431,1120,-0.009430157021,1120,-0.004202072974,
1119.333374,-0.01643698849,1119.333374,-0.007725606672,1119.333374,0.004240435548,1119.333374,0.01675281301,1119.333374,-0.008903583512,1119.333374,-0.009370171465,1119.333374,-0.004128027707,
1118.666626,-0.01623640023,1118.666626,-0.007519934792,1118.666626,0.004239337984,1118.666626,0.01676543243,1118.666626,-0.008849206381,1118.666626,-0.009328978136,1118.666626,-0.004055816215,
1118,-0.0163131468,1118,-0.007620773744,1118,0.004141141195,1118,0.01663028263,1118,-0.008966472931,1118,-0.009385473095,1118,-0.004170025699,
1117.333374,-0.01640458591,1117.333374,-0.007584297098,1117.333374,0.004135418218,1117.333374,0.01686657779,1117.333374,-0.008963176981,1117.333374,-0.009301107377,1117.333374,-0.004089974798,
1116.666626,-0.01646754518,1116.666626,-0.007591826841,1116.666626,0.004152222071,1116.666626,0.016771378,1116.666626,-0.008764128201,1116.666626,-0.009430056438,1116.666626,-0.003985747695,
1116,-0.01647561975,1116,-0.007656636182,1116,0.004036330618,1116,0.01678057946,1116,-0.009041573852,1116,-0.009241915308,1116,-0.003977437038,
1115.333374,-0.01620602608,1115.333374,-0.007484264206,1115.333374,0.004251074512,1115.333374,0.01705752872,1115.333374,-0.008544632234,1115.333374,-0.009093442932,1115.333374,-0.003941987175,
1114.666626,-0.01641400903,1114.666626,-0.007777073421,1114.666626,0.004023057874,1114.666626,0.01673607901,1114.666626,-0.008918140084,1114.666626,-0.009506849572,1114.666626,-0.004210071173,
1114,-0.01642716862,1114,-0.007659739349,1114,0.004072336014,1114,0.01681262627,1114,-0.008894097991,1114,-0.009301208891,1114,-0.004161616322,
1113.333374,-0.01616133563,1113.333374,-0.007570255548,1113.333374,0.004097447265,1113.333374,0.01676005125,1113.333374,-0.008836118504,1113.333374,-0.009440745227,1113.333374,-0.003967382014,
1112.666626,-0.01634311303,1112.666626,-0.007636797614,1112.666626,0.004011222627,1112.666626,0.01693741418,1112.666626,-0.008756669238,1112.666626,-0.009330446832,1112.666626,-0.00404525036,
1112,-0.01633134671,1112,-0.007596863434,1112,0.00401561195,1112,0.01685487293,1112,-0.00892706681,1112,-0.009388563223,1112,-0.003988158889,
1111.333374,-0.01642851532,1111.333374,-0.007652312517,1111.333374,0.003903178265,1111.333374,0.0166843757,1111.333374,-0.008914538659,1111.333374,-0.009271613322,1111.333374,-0.003951119259,
1110.666626,-0.01619156264,1110.666626,-0.007639239542,1110.666626,0.003993614111,1110.666626,0.01673936099,1110.666626,-0.008780820295,1110.666626,-0.009295127355,1110.666626,-0.003924800083,
1110,-0.0162419863,1110,-0.007554839365,1110,0.004177259747,1110,0.01682320051,1110,-0.008784980513,1110,-0.009280077182,1110,-0.003965483978,
1109.333374,-0.0163094569,1109.333374,-0.007606020663,1109.333374,0.004128571134,1109.333374,0.0167251844,1109.333374,-0.008669035509,1109.333374,-0.009259146638,1109.333374,-0.003979283851,
1108.666626,-0.01635487936,1108.666626,-0.007581448182,1108.666626,0.004096350167,1108.666626,0.01675364748,1108.666626,-0.008576865308,1108.666626,-0.009181548841,1108.666626,-0.003911870997,
1108,-0.01626098715,1108,-0.007434391417,1108,0.004121593665,1108,0.01686170697,1108,-0.008623054251,1108,-0.009193410166,1108,-0.00377701316,
1107.333374,-0.01631828211,1107.333374,-0.00767047191,1107.333374,0.004051223397,1107.333374,0.01678851619,1107.333374,-0.008564632386,1107.333374,-0.009222199209,1107.333374,-0.003866204526,
1106.666626,-0.01623236015,1106.666626,-0.00748818228,1106.666626,0.004140723031,1106.666626,0.01686830074,1106.666626,-0.008704608306,1106.666626,-0.009184437804,1106.666626,-0.003885292681,
1106,-0.01637741551,1106,-0.007652211003,1106,0.004037819803,1106,0.01667253859,1106,-0.008764280006,1106,-0.009238671511,1106,-0.003951427061,
1105.333374,-0.01638958044,1105.333374,-0.007629828528,1105.333374,0.004188002087,1105.333374,0.01662218757,1105.333374,-0.008756821975,1105.333374,-0.009335463867,1105.333374,-0.004130950663,
1104.666626,-0.01627056114,1104.666626,-0.007591063622,1104.666626,0.004216100089,1104.666626,0.01690974645,1104.666626,-0.008733836934,1104.666626,-0.009261376224,1104.666626,-0.003954043612,
1104,-0.0164824985,1104,-0.007566388696,1104,0.003991236445,1104,0.01677837409,1104,-0.008944310248,1104,-0.009282458574,1104,-0.004064125475,
1103.333374,-0.01626971364,1103.333374,-0.007358350325,1103.333374,0.00403964892,1103.333374,0.01689957269,1103.333374,-0.008750631474,1103.333374,-0.009250885807,1103.333374,-0.003835210344,
1102.666626,-0.01625500247,1102.666626,-0.007416833192,1102.666626,0.004087752663,1102.666626,0.01696500368,1102.666626,-0.00868994277,1102.666626,-0.009175415151,1102.666626,-0.003771932097,
