imine undoped,,imine 5 sec TFA,,imine 10 sec TFA,,imine 30 sec TFA,,imine 1 min TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
473.333313,0.1457594335,473.333313,0.1437446326,473.333313,0.1518558711,473.333313,0.142491892,473.333313,0.130835861,
472.666626,0.1460092515,472.666626,0.1438488811,472.666626,0.1518582255,472.666626,0.1424829066,472.666626,0.1308093518,
471.9999695,0.1462768167,471.9999695,0.1439926028,471.9999695,0.1517428607,471.9999695,0.1425771117,471.9999695,0.1308291405,
471.333313,0.1464570314,471.333313,0.1438640654,471.333313,0.1517133415,471.333313,0.1422872692,471.333313,0.1306820214,
470.666626,0.1468892395,470.666626,0.1441774964,470.666626,0.1516431272,470.666626,0.1425069869,470.666626,0.1305790395,
469.9999695,0.1468922049,469.9999695,0.1441976279,469.9999695,0.1515606195,469.9999695,0.1423251331,469.9999695,0.1304479986,
469.333313,0.1470472962,469.333313,0.1440712214,469.333313,0.1513050646,469.333313,0.1421506107,469.333313,0.1303510517,
468.666626,0.1474306732,468.666626,0.1440443248,468.666626,0.1513516456,468.666626,0.1421901584,468.666626,0.1302295476,
467.9999695,0.1475864947,467.9999695,0.144225046,467.9999695,0.1511992067,467.9999695,0.1419281662,467.9999695,0.1300717592,
467.333313,0.1477050632,467.333313,0.1442475617,467.333313,0.1509947628,467.333313,0.1418801099,467.333313,0.1299195141,
466.666626,0.1477266252,466.666626,0.1441607624,466.666626,0.1509796232,466.666626,0.1416740268,466.666626,0.129774794,
465.9999695,0.1479749829,465.9999695,0.1442842633,465.9999695,0.1506765485,465.9999695,0.1416261792,465.9999695,0.1297709942,
465.333313,0.1482323408,465.333313,0.1442781985,465.333313,0.1506020278,465.333313,0.1415669322,465.333313,0.1295694858,
464.666626,0.1481163651,464.666626,0.1440165192,464.666626,0.1502655149,464.666626,0.1413040757,464.666626,0.1293840855,
463.9999695,0.1482927501,463.9999695,0.1440789104,463.9999695,0.1502208412,463.9999695,0.1412128359,463.9999695,0.1291568875,
463.333313,0.1481596529,463.333313,0.143892616,463.333313,0.1497462094,463.333313,0.1409109384,463.333313,0.1287675649,
462.666626,0.1482771337,462.666626,0.1437354088,462.666626,0.1495681107,462.666626,0.1406048238,462.666626,0.1286488175,
461.9999695,0.1483157426,461.9999695,0.1436853111,461.9999695,0.1493596435,461.9999695,0.1403639019,461.9999695,0.128635481,
461.333313,0.1483061612,461.333313,0.1435688585,461.333313,0.1491496563,461.333313,0.1401828676,461.333313,0.128318578,
460.666626,0.1483083814,460.666626,0.1434916258,460.666626,0.1489731371,460.666626,0.1400091648,460.666626,0.1282206476,
459.9999695,0.1483610123,459.9999695,0.1434528232,459.9999695,0.1485911906,459.9999695,0.1397533566,459.9999695,0.1278776377,
