FeCl3 0 uM,,FeCl3 5 uM,,FeCl3 20 uM,,FeCl3 50 uM,,FeCl3 100 uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1324.666626,0.001184784574,1324.666626,0.02422912419,1324.666626,0.09584290534,1324.666626,0.2064581513,1324.666626,0.3192797899,
1324,0.001178477192,1324,0.02422173508,1324,0.09587470442,1324,0.206442371,1324,0.3192379177,
1323.333374,0.001158647006,1323.333374,0.02423276566,1323.333374,0.09588974714,1323.333374,0.2063400745,1323.333374,0.3191080987,
1322.666626,0.001166667207,1322.666626,0.02420859784,1322.666626,0.09596464783,1322.666626,0.2064632326,1322.666626,0.3191073239,
1322,0.001125088311,1322,0.02420840599,1322,0.09605973959,1322,0.2064395398,1322,0.3190248013,
1321.333374,0.00117728312,1321.333374,0.02417556383,1321.333374,0.0961362496,1321.333374,0.2064909339,1321.333374,0.3189577758,
1320.666626,0.00118457689,1320.666626,0.0241973754,1320.666626,0.09620916098,1320.666626,0.2064492106,1320.666626,0.3189101517,
1320,0.001136014704,1320,0.0241589509,1320,0.09625865519,1320,0.2064882219,1320,0.3188785613,
1319.333374,0.001146759721,1319.333374,0.0241689682,1319.333374,0.09636169672,1319.333374,0.2065497786,1319.333374,0.3188346922,
1318.666626,0.001123920432,1318.666626,0.02417159453,1318.666626,0.0964262411,1318.666626,0.206576854,1318.666626,0.3187561035,
1318,0.001137675717,1318,0.02414887957,1318,0.09651955962,1318,0.2065709382,1318,0.3186608851,
1317.333374,0.001144242124,1317.333374,0.02415736392,1317.333374,0.09666115046,1317.333374,0.2066218406,1317.333374,0.3185911775,
1316.666626,0.001135962782,1316.666626,0.02415120602,1316.666626,0.09673039615,1316.666626,0.2066494077,1316.666626,0.3185268939,
1316,0.00106664584,1316,0.02414214797,1316,0.09687399119,1316,0.2067121565,1316,0.3185166717,
1315.333374,0.001098097884,1315.333374,0.02413235232,1315.333374,0.09694007039,1315.333374,0.2067628205,1315.333374,0.3183170855,
1314.666626,0.001041864627,1314.666626,0.02414477617,1314.666626,0.09701476246,1314.666626,0.2067681998,1314.666626,0.3183078766,
1314,0.001079283422,1314,0.02414806001,1314,0.09705175459,1314,0.2068348378,1314,0.3182316124,
1313.333374,0.001008937717,1313.333374,0.02410422079,1313.333374,0.09710979462,1313.333374,0.2068053782,1313.333374,0.3180771768,
1312.666626,0.001056240173,1312.666626,0.02411087044,1312.666626,0.09728515893,1312.666626,0.2068748921,1312.666626,0.3179901838,
1312,0.0010765068,1312,0.02416770905,1312,0.09728503227,1312,0.2069287896,1312,0.3179673254,
1311.333374,0.001023986726,1311.333374,0.02411844954,1311.333374,0.09725905955,1311.333374,0.2070105374,1311.333374,0.3177531362,
1310.666626,0.001060859067,1310.666626,0.02414165623,1310.666626,0.09733293205,1310.666626,0.2069242448,1310.666626,0.3176754415,
1310,0.001064128708,1310,0.02409759909,1310,0.09734112769,1310,0.2068505138,1310,0.3174429834,
1309.333374,0.001055279979,1309.333374,0.02410287969,1309.333374,0.0975818783,1309.333374,0.2069764882,1309.333374,0.3174241781,
1308.666626,0.001040852629,1308.666626,0.02415156178,1308.666626,0.09759967029,1308.666626,0.2069681436,1308.666626,0.3173696399,
1308,0.001049363753,1308,0.02421543933,1308,0.09768290818,1308,0.2069977075,1308,0.3171547055,
1307.333374,0.001020821161,1307.333374,0.0243246071,1307.333374,0.09775763005,1307.333374,0.207061246,1307.333374,0.3169985414,
1306.666626,0.001056136331,1306.666626,0.02430374548,1306.666626,0.09782205522,1306.666626,0.2069929838,1306.666626,0.3168418407,
1306,0.001081411378,1306,0.02438483946,1306,0.0979123041,1306,0.2070625871,1306,0.3167295158,
1305.333374,0.000996042625,1305.333374,0.02435217611,1305.333374,0.09787659347,1305.333374,0.207022801,1305.333374,0.3164969683,
1304.666626,0.001014438341,1304.666626,0.02439801022,1304.666626,0.09794009477,1304.666626,0.2070691735,1304.666626,0.3163989782,
1304,0.0009763505077,1304,0.0245837532,1304,0.09795469046,1304,0.206989944,1304,0.3163257837,
1303.333374,0.0009670885047,1303.333374,0.02470268495,1303.333374,0.09800361097,1303.333374,0.2071343958,1303.333374,0.316216588,
