0.0% TFA,,0.017% TFA,,0.017% TFA + triethylamine,,0.05% TFA,,0.05% TFA + triethylamine,,0.25% TFA,,0.25% TFA + triethylamine,,1.00% TFA,,1.00% TFA + triethylamine,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1345.333374,9.972419502E-005,1345.333374,0.000991657842,1345.333374,0.0006033030222,1345.333374,0.0003267779539,1345.333374,-0.0002427425352,1345.333374,0.001217776793,1345.333374,0.0008680727915,1345.333374,0.000737106835,1345.333374,0.00132860837,
1344.666626,9.519313608E-005,1344.666626,0.0009849381167,1344.666626,0.0006027327618,1344.666626,0.0003143175854,1344.666626,-0.0002596104168,1344.666626,0.00120749732,1344.666626,0.0007909666747,1344.666626,0.0007235975936,1344.666626,0.001117302454,
1344,7.137347711E-005,1344,0.0009748457815,1344,0.0005671434337,1344,0.0002916774829,1344,-0.0002872392361,1344,0.001182578271,1344,0.0007159226225,1344,0.0007317134878,1344,0.000951807946,
1343.333374,9.180134657E-005,1343.333374,0.001005383092,1343.333374,0.0006148385,1343.333374,0.000311675336,1343.333374,-0.0002966554021,1343.333374,0.001213597483,1343.333374,0.0007127334247,1343.333374,0.0007833424024,1343.333374,0.0008953083307,
1342.666626,9.415747627E-005,1342.666626,0.001028994564,1342.666626,0.0006070617237,1342.666626,0.0003411816142,1342.666626,-0.000260231318,1342.666626,0.001230730326,1342.666626,0.0006883353926,1342.666626,0.0008285454824,1342.666626,0.0008755170275,
1342,0.0001100810841,1342,0.001033094246,1342,0.0006315588835,1342,0.0003568811226,1342,-0.0002469854371,1342,0.001239167177,1342,0.0006689942675,1342,0.0008664905909,1342,0.0008281304617,
1341.333374,0.0001017955583,1341.333374,0.001025595469,1341.333374,0.0006014366518,1341.333374,0.0003573733557,1341.333374,-0.0002650431998,1341.333374,0.001198282233,1341.333374,0.0006573018618,1341.333374,0.0008699143655,1341.333374,0.0007402444026,
1340.666626,9.615113231E-005,1340.666626,0.001023753197,1340.666626,0.0006086689536,1340.666626,0.0003588241816,1340.666626,-0.0002755981113,1340.666626,0.001217283541,1340.666626,0.0006335549988,1340.666626,0.0008710816037,1340.666626,0.000694661634,
1340,8.51214063E-005,1340,0.001023234217,1340,0.0005708240787,1340,0.0003193172452,1340,-0.0003517513687,1340,0.00115221017,1340,0.0005779780331,1340,0.0008179898723,1340,0.000583550951,
1339.333374,9.265576227E-005,1339.333374,0.001051180065,1339.333374,0.0005813995376,1339.333374,0.0003557671153,1339.333374,-0.0002725972154,1339.333374,0.001175388345,1339.333374,0.0005880871322,1339.333374,0.0008516804664,1339.333374,0.0006084096967,
1338.666626,6.93281545E-005,1338.666626,0.001019653631,1338.666626,0.0005928566097,1338.666626,0.0003529432288,1338.666626,-0.0002889983298,1338.666626,0.001167965005,1338.666626,0.0005858319928,1338.666626,0.0008792261942,1338.666626,0.000583654677,
1338,3.290231325E-005,1338,0.0009871694492,1338,0.0005456823856,1338,0.0003251718008,1338,-0.0003243335814,1338,0.001086549601,1338,0.0005437903455,1338,0.0008285454824,1338,0.0005105123855,
1337.333374,4.061698201E-005,1337.333374,0.0009710060549,1337.333374,0.0005232375115,1337.333374,0.0003165453963,1337.333374,-0.0003645802208,1337.333374,0.00107811566,1337.333374,0.0004886653624,1337.333374,0.000813969993,1337.333374,0.0004570760066,
1336.666626,8.160023572E-005,1336.666626,0.001001465251,1336.666626,0.0005765524111,1336.666626,0.0003506634384,1336.666626,-0.0003108310048,1336.666626,0.001096203458,1336.666626,0.0005357557093,1336.666626,0.0008187419735,1336.666626,0.0004502349766,
1336,5.7367095E-005,1336,0.001014334499,1336,0.0005483779241,1336,0.0003737211518,1336,-0.0003013116657,1336,0.001060288167,1336,0.0005321531207,1336,0.0007989541627,1336,0.0004081027873,
1335.333374,2.826839773E-005,1335.333374,0.0009880255675,1335.333374,0.0005240409519,1335.333374,0.0003392386425,1335.333374,-0.0003649940481,1335.333374,0.001019964926,1335.333374,0.0004713803355,1335.333374,0.0007509277202,1335.333374,0.0003380728594,
1334.666626,8.030569734E-005,1334.666626,0.0009895043913,1334.666626,0.0005586936604,1334.666626,0.0003868050117,1334.666626,-0.0003078303707,1334.666626,0.001016462105,1334.666626,0.0004752415698,1334.666626,0.000726086786,1334.666626,0.0003160014166,
1334,4.970390364E-005,1334,0.0009941486642,1334,0.0004858147295,1334,0.0003030491935,1334,-0.0003661320661,1334,0.0009474495891,1334,0.0003886445775,1334,0.0006136719603,1334,0.0001523656538,
1333.333374,4.263628216E-005,1333.333374,0.0009781665867,1333.333374,0.0004876806051,1333.333374,0.0003333320783,1333.333374,-0.0003391807841,1333.333374,0.0009420276619,1333.333374,0.0003660264774,1333.333374,0.0006034585531,1333.333374,0.0001321161835,
1332.666626,5.868745575E-005,1332.666626,0.0009827588219,1332.666626,0.0005039555836,1332.666626,0.0003509742965,1332.666626,-0.0003357664973,1332.666626,0.0009212484583,1332.666626,0.000347217836,1332.666626,0.000571446144,1332.666626,7.800142339E-005,
1332,4.988512592E-005,1332,0.0009628078551,1332,0.0005018045194,1332,0.0003479432198,1332,-0.0003460092994,1332,0.000909238006,1332,0.0003140844638,1332,0.0005896423827,1332,3.554288924E-005,
1331.333374,5.615029659E-005,1331.333374,0.0009735485655,1331.333374,0.0004891059361,1331.333374,0.0003447048948,1331.333374,-0.0003635973844,1331.333374,0.0009000811842,1331.333374,0.0003271924215,1331.333374,0.000610742718,1331.333374,5.558073099E-005,
1330.666626,4.783990516E-005,1330.666626,0.0009663102101,1330.666626,0.0005039296229,1330.666626,0.000350456161,1330.666626,-0.0003811330243,1330.666626,0.0008920658729,1330.666626,0.0003499898594,1330.666626,0.0006527390215,1330.666626,0.0001256168907,
1330,4.71150197E-005,1330,0.0009419498383,1330,0.0004864107759,1330,0.000349238544,1330,-0.0003542861377,1330,0.0008873709012,1330,0.0003606895043,1330,0.0006650535506,1330,0.000180566276,
1329.333374,4.781401367E-005,1329.333374,0.0009572560084,1329.333374,0.0004998349468,1329.333374,0.0003272442555,1329.333374,-0.0003429054341,1329.333374,0.000877618033,1329.333374,0.0003452489327,1329.333374,0.0006703942199,1329.333374,0.0001930227882,
1328.666626,4.641602209E-005,1328.666626,0.000977518037,1328.666626,0.0005119636771,1328.666626,0.0003275033087,1328.666626,-0.0003417156404,1328.666626,0.0008862814866,1328.666626,0.0003903286706,1328.666626,0.0006473207613,1328.666626,0.0002185066405,
1328,7.569717127E-005,1328,0.0009926178027,1328,0.0005112380604,1328,0.0003550676047,1328,-0.0002952067589,1328,0.000871626311,1328,0.000417896983,1328,0.0006755017093,1328,0.0002450539323,
1327.333374,5.249991591E-005,1327.333374,0.001011091284,1327.333374,0.0005086204619,1327.333374,0.0003639797796,1327.333374,-0.0002850662568,1327.333374,0.0008770214044,1327.333374,0.0004262144503,1327.333374,0.0006721053505,1327.333374,0.0002586001356,
1326.666626,7.259032282E-005,1326.666626,0.001027567429,1326.666626,0.0005674285349,1326.666626,0.0003827632463,1326.666626,-0.0002810306614,1326.666626,0.0008661793545,1326.666626,0.0004481360374,1326.666626,0.0006580277113,1326.666626,0.0002567611518,
1326,9.343250713E-005,1326,0.001001906348,1326,0.000532723323,1326,0.0003534354619,1326,-0.0002844971314,1326,0.0008400609368,1326,0.0004009515978,1326,0.0006199711934,1326,0.0002331916185,
1325.333374,6.89139124E-005,1325.333374,0.0009824993322,1325.333374,0.0005176135455,1325.333374,0.0003097065783,1325.333374,-0.0003301794059,1325.333374,0.0007688462501,1325.333374,0.0003643942764,1325.333374,0.0005473152269,1325.333374,0.0001556025381,
1324.666626,8.830601291E-005,1324.666626,0.0009850419592,1324.666626,0.0005402913666,1324.666626,0.0003309228341,1324.666626,-0.0003035880509,1324.666626,0.0007634524954,1324.666626,0.0003535391006,1324.666626,0.0005114453379,1324.666626,0.0001494913013,
