non-imine polymer 0.0% TFA,,non-imine polymer 0.017% TFA,,non-imine polymer 0.05% TFA,,non-imine polymer 0.1% TFA,,non-imine polymer 0.25% TFA,,non-imine polymer 0.5% TFA,,non-imine polymer 1.0% TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1358.666626,-0.0001065853357,1358.666626,0.0003603008809,1358.666626,0.0003103541967,1358.666626,0.002317218343,1358.666626,0.001357950154,1358.666626,0.004048741423,1358.666626,0.003973236773,
1358,-9.147138189E-005,1358,0.0003798614489,1358,0.0003479950246,1358,0.002276622225,1358,0.001374413609,1358,0.003956309054,1358,0.003939041868,
1357.333374,-0.0001799219754,1357.333374,0.0002627702779,1357.333374,0.0002433444897,1357.333374,0.002139325719,1357.333374,0.001277018455,1357.333374,0.00387888751,1357.333374,0.003837309312,
1356.666626,-0.0001884089725,1356.666626,0.0002637804428,1356.666626,0.0002007920993,1356.666626,0.001983374823,1356.666626,0.001222293591,1356.666626,0.003749177791,1356.666626,0.003686935175,
1356,-0.0001954985928,1356,0.0001771738171,1356,0.0001042035219,1356,0.001915144501,1356,0.001190754701,1356,0.003739282023,1356,0.003642790951,
1355.333374,-0.0002233902196,1355.333374,0.0001695344108,1355.333374,0.0001158810555,1355.333374,0.001760911779,1355.333374,0.001176738064,1355.333374,0.003642895492,1355.333374,0.003605829319,
1354.666626,-0.0001818884921,1354.666626,0.000190795603,1354.666626,0.0001532201859,1354.666626,0.00169045548,1354.666626,0.00120552443,1354.666626,0.003666285193,1354.666626,0.003658297006,
1354,-0.000245329662,1354,0.0001207230453,1354,3.266932254E-005,1354,0.001605408615,1354,0.001069292659,1354,0.003601809731,1354,0.00349154463,
1353.333374,-0.0002862044785,1353.333374,8.848725702E-005,1353.333374,4.149719098E-005,1353.333374,0.001376594882,1353.333374,0.001048195991,1353.333374,0.003537891665,1353.333374,0.003519936698,
1352.666626,-0.0002720798366,1352.666626,5.299181066E-005,1352.666626,3.235758186E-006,1352.666626,0.001278264681,1352.666626,0.001038439455,1352.666626,0.003526722081,1352.666626,0.00347111281,
1352,-0.0003237645142,1352,1.796523429E-005,1352,-5.156178668E-005,1352,0.001110918121,1352,0.0009947194485,1352,0.003432678524,1352,0.003342489945,
1351.333374,-0.0003215917095,1351.333374,-2.453920388E-005,1351.333374,-6.828181358E-005,1351.333374,0.0009995711735,1351.333374,0.0009099383606,1351.333374,0.003317213384,1351.333374,0.003263273975,
1350.666626,-0.0002970692876,1350.666626,-4.529808211E-005,1350.666626,-6.999001926E-005,1350.666626,0.0009366836166,1350.666626,0.0008841804811,1350.666626,0.003189679235,1350.666626,0.003123240545,
1350,-0.0003549068933,1350,-6.709124864E-005,1350,-0.0001471109281,1350,0.0007901886711,1350,0.0007765740156,1350,0.002955703065,1350,0.002897951752,
1349.333374,-0.0003515961871,1349.333374,-8.174019604E-005,1349.333374,-0.0001617571688,1349.333374,0.0007146521239,1349.333374,0.0006895798724,1349.333374,0.002781482413,1349.333374,0.002682807622,
1348.666626,-0.0003537170996,1348.666626,-0.0001194214346,1348.666626,-0.0001776449499,1348.666626,0.0006051953533,1348.666626,0.0006216043257,1348.666626,0.00260751415,1348.666626,0.002469514264,
1348,-0.0003742533445,1348,-0.0001530108857,1348,-0.0002319281048,1348,0.0004765891063,1348,0.0004884321243,1348,0.00237494451,1348,0.002194790635,
1347.333374,-0.0003941161849,1347.333374,-0.0001634132495,1347.333374,-0.0002937063982,1347.333374,0.0003464665206,1347.333374,0.0003825041349,1347.333374,0.002150823828,1347.333374,0.001872973982,
1346.666626,-0.0003669080033,1346.666626,-0.000191203435,1346.666626,-0.0002729593834,1346.666626,0.0002547408512,1346.666626,0.0003015726688,1346.666626,0.001989746001,1346.666626,0.001676656655,
1346,-0.0004186331353,1346,-0.000272390258,1346,-0.0003522686602,1346,0.000168343191,1346,0.0002022423869,1346,0.00178986683,1346,0.001398330787,
1345.333374,-0.0004082368687,1345.333374,-0.0002375164622,1345.333374,-0.0003354043583,1345.333374,0.0001369583624,1345.333374,0.0001452445722,1345.333374,0.001651736675,1345.333374,0.001249551307,
1344.666626,-0.0004720587458,1344.666626,-0.0003278514487,1344.666626,-0.0004397869343,1344.666626,3.137492604E-005,1344.666626,2.904502799E-005,1344.666626,0.001465311158,1344.666626,0.001027956605,
1344,-0.0004910379648,1344,-0.0003392842482,1344,-0.0004670940107,1344,-3.701535752E-005,1344,-6.730299447E-006,1344,0.00135592476,1344,0.0009098605369,
1343.333374,-0.0004713864182,1343.333374,-0.0002966554021,1343.333374,-0.0004437693278,1343.333374,-3.297747025E-005,1343.333374,-4.970077498E-006,1343.333374,0.001326401369,1343.333374,0.0008622368332,
1342.666626,-0.0004724724567,1342.666626,-0.0003416121763,1342.666626,-0.0004691626527,1342.666626,-7.620160613E-005,1342.666626,-7.403323707E-006,1342.666626,0.001298853196,1342.666626,0.0007871026755,
1342,-0.0004775922862,1342,-0.0003518548328,1342,-0.0004694729287,1342,-7.956617628E-005,1342,-4.338271538E-005,1342,0.001215466415,1342,0.0007491385331,
1341.333374,-0.0004638875835,1341.333374,-0.0003487510257,1341.333374,-0.0004398386518,1341.333374,-4.752403765E-005,1341.333374,-6.284658593E-005,1341.333374,0.001229951507,1341.333374,0.0007323876489,
1340.666626,-0.000538560038,1340.666626,-0.000379270874,1340.666626,-0.0004879868648,1340.666626,-0.0001476284669,1340.666626,-0.0001227856701,1340.666626,0.001109906007,1340.666626,0.0006026290939,
1340,-0.0004851426056,1340,-0.0003817537508,1340,-0.0004959507496,1340,-0.0001208188914,1340,-0.0001026516184,1340,0.001103340182,1340,0.0005775374011,
1339.333374,-0.0004667837056,1339.333374,-0.0003522169427,1339.333374,-0.0004949682043,1339.333374,-0.0001341203752,1339.333374,-0.0001038420887,1339.333374,0.001105857431,1339.333374,0.0005912235938,
1338.666626,-0.0004941924708,1338.666626,-0.0003275410272,1338.666626,-0.0004830223334,1338.666626,-0.0001284271857,1338.666626,-0.0001007365063,1338.666626,0.001083695097,1338.666626,0.0005643959157,
1338,-0.0004207020102,1338,-0.0003392842482,1338,-0.000481522613,1338,-0.000132619447,1338,-9.214426973E-005,1338,0.001062260359,1338,0.0005492332275,
1337.333374,-0.0004680766142,1337.333374,-0.0003586313978,1337.333374,-0.0004738170537,1337.333374,-0.0001548222644,1337.333374,-0.0001281683944,1337.333374,0.001066152821,1337.333374,0.0004838192835,
1336.666626,-0.0004734033428,1336.666626,-0.0003759603424,1336.666626,-0.0004869526019,1336.666626,-0.0001797149744,1336.666626,-0.0001472144359,1336.666626,0.00100795168,1336.666626,0.0004271731887,
1336,-0.0004717484408,1336,-0.0003401636786,1336,-0.0004474413581,1336,-0.0001368634257,1336,-0.0001280131255,1336,0.0009684895049,1336,0.0003989047254,
1335.333374,-0.0004562334507,1335.333374,-0.0004135126073,1335.333374,-0.0004977606586,1335.333374,-0.0002157835843,1335.333374,-0.0001575651841,1335.333374,0.0009399263654,1335.333374,0.0003550417023,
1334.666626,-0.0004481654323,1334.666626,-0.0003494752455,1334.666626,-0.0004866940144,1334.666626,-0.0001897544571,1334.666626,-0.0001970510493,1334.666626,0.0009054507245,1334.666626,0.0003073492844,
1334,-0.0004532855237,1334,-0.0004063231172,1334,-0.000519996509,1334,-0.0002598173742,1334,-0.0002036748047,1334,0.0008306202944,1334,0.0002141556324,
1333.333374,-0.0004767648352,1333.333374,-0.0003836676187,1333.333374,-0.0005272876006,1333.333374,-0.0002832036698,1333.333374,-0.0002330147399,1333.333374,0.0007964126999,1333.333374,0.0001498538331,
1332.666626,-0.0004758856667,1332.666626,-0.0003749775351,1332.666626,-0.0005274944124,1332.666626,-0.0002731663408,1332.666626,-0.0002342048538,1332.666626,0.0007571252063,1332.666626,8.96005804E-005,
1332,-0.0004687489127,1332,-0.0004090644361,1332,-0.0005356126931,1332,-0.0003269202425,1332,-0.0002744598314,1332,0.0007444969378,1332,7.83897849E-005,
1331.333374,-0.0004880385823,1331.333374,-0.0003993403807,1331.333374,-0.0005262016784,1331.333374,-0.0002941203129,1331.333374,-0.0002724937513,1331.333374,0.0007412816049,1331.333374,0.000120101613,
1330.666626,-0.0004499755742,1330.666626,-0.0003788053291,1330.666626,-0.0004863837385,1330.666626,-0.0002469854371,1330.666626,-0.0002051237389,1330.666626,0.0008054117206,1330.666626,0.0001807993394,
1330,-0.0004746962222,1330,-0.0004044093366,1330,-0.0005111023202,1330,-0.0002381373779,1330,-0.0002080733393,1330,0.0008388938149,1330,0.000220915259,
