non-imine undoped,,non-imine 10 min iodine doped,,non-imine 1 min iodine doped,,non-imine 30 min iodine doping,,non-imine 30 min iodine doping1,,imine 1 hr iodine doping,,imine 1 hr iodine doping1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1137.333374,-0.01416957565,1137.333374,0.008108918555,1137.333374,0.01467774808,1137.333374,0.009442632087,1137.333374,-0.005618087482,1137.333374,-0.009770458564,1137.333374,-0.004293330014,
1136.666626,-0.01420931146,1136.666626,0.00779992668,1136.666626,0.01447649486,1136.666626,0.009182736278,1136.666626,-0.005864810664,1136.666626,-0.009965707548,1136.666626,-0.004583482165,
1136,-0.01407245174,1136,0.007990911603,1136,0.01470572967,1136,0.009412633255,1136,-0.005640318152,1136,-0.009630977176,1136,-0.004362580366,
1135.333374,-0.01416075602,1135.333374,0.007990067825,1135.333374,0.01453090739,1135.333374,0.00939181447,1135.333374,-0.005684316158,1135.333374,-0.009726719931,1135.333374,-0.004524821416,
1134.666626,-0.0140291946,1134.666626,0.008103827946,1134.666626,0.01460650377,1134.666626,0.009284935892,1134.666626,-0.0056776735,1134.666626,-0.009824922308,1134.666626,-0.004445604514,
1134,-0.01388174854,1134,0.00824497547,1134,0.01491627842,1134,0.009567887522,1134,-0.005463564768,1134,-0.009629002772,1134,-0.004119155928,
1133.333374,-0.013895588,1133.333374,0.008310091682,1133.333374,0.01483449526,1133.333374,0.009781731293,1133.333374,-0.005416783039,1133.333374,-0.009513028897,1133.333374,-0.004126284271,
1132.666626,-0.01402327977,1132.666626,0.008279696107,1132.666626,0.01475792192,1132.666626,0.009619201533,1132.666626,-0.00545073254,1132.666626,-0.009595429525,1132.666626,-0.004360632505,
1132,-0.0142296534,1132,0.008053589612,1132,0.01477171481,1132,0.00939649716,1132,-0.005604850594,1132,-0.009641459212,1132,-0.004549465142,
1131.333374,-0.01412803307,1131.333374,0.008180344477,1131.333374,0.01486479025,1131.333374,0.009587338194,1131.333374,-0.005525268149,1131.333374,-0.009745248593,1131.333374,-0.00436053006,
1130.666626,-0.01416727062,1130.666626,0.008266846649,1130.666626,0.01481823623,1130.666626,0.009633784182,1130.666626,-0.005434167106,1130.666626,-0.009561295621,1130.666626,-0.004395022988,
1130,-0.01407776494,1130,0.008162222803,1130,0.01481636148,1130,0.009569290094,1130,-0.005351945292,1130,-0.009758461267,1130,-0.004425721243,
1129.333374,-0.01408558339,1129.333374,0.008312914521,1129.333374,0.01481670979,1129.333374,0.009592181072,1129.333374,-0.005344018806,1129.333374,-0.00952938851,1129.333374,-0.004210686777,
1128.666626,-0.01397816371,1128.666626,0.008229753934,1128.666626,0.0148776751,1128.666626,0.009738789871,1128.666626,-0.005339211784,1128.666626,-0.009490995668,1128.666626,-0.004290203098,
1128,-0.01394286938,1128,0.008409182541,1128,0.01506233867,1128,0.009781678207,1128,-0.005246537272,1128,-0.009379545227,1128,-0.004268107936,
1127.333374,-0.0140285939,1127.333374,0.008390392177,1127.333374,0.01492948644,1127.333374,0.009701623581,1127.333374,-0.005354144145,1127.333374,-0.009508824907,1127.333374,-0.004298302345,
1126.666626,-0.01393630076,1126.666626,0.008275500499,1126.666626,0.0150148524,1126.666626,0.009742893279,1126.666626,-0.005431099329,1126.666626,-0.009646371007,1126.666626,-0.0042503695,
1126,-0.01407185011,1126,0.008365769871,1126,0.01500343718,1126,0.009652152658,1126,-0.005352916662,1126,-0.009506748058,1126,-0.004349919967,
1125.333374,-0.0139054656,1125.333374,0.00847976096,1125.333374,0.01514266338,1125.333374,0.009789303876,1125.333374,-0.005266945809,1125.333374,-0.00935314782,1125.333374,-0.004201150034,
1124.666626,-0.01410232298,1124.666626,0.008394298144,1124.666626,0.01495330501,1124.666626,0.009637622163,1124.666626,-0.00532811461,1124.666626,-0.009617255069,1124.666626,-0.00435125269,
1124,-0.01399194915,1124,0.00852841232,1124,0.01502222102,1124,0.009834156372,1124,-0.005200704094,1124,-0.009583832696,1124,-0.004147206899,
1123.333374,-0.01404247805,1123.333374,0.008476223797,1123.333374,0.01488983724,1123.333374,0.009811676107,1123.333374,-0.005373320542,1123.333374,-0.009605810046,1123.333374,-0.004261853639,
1122.666626,-0.01391474158,1122.666626,0.008547314443,1122.666626,0.01505403034,1122.666626,0.009905575775,1122.666626,-0.005294257775,1122.666626,-0.009453308769,1122.666626,-0.004241346382,
1122,-0.0138785392,1122,0.008765568957,1122,0.01525222789,1122,0.00996972248,1122,-0.005163512658,1122,-0.009468708187,1122,-0.004058740102,
1121.333374,-0.01398192346,1121.333374,0.008590534329,1121.333374,0.01511942502,1121.333374,0.009849037975,1121.333374,-0.005258762278,1121.333374,-0.00940538384,1121.333374,-0.004192997236,
